Title:,"Time Series, Area-Averaged of Combined Dark Target and Deep Blue AOD at 0.55 micron for land and (daily)"
6/5/2003,0.119070062
6/6/2003,0.175425372
6/7/2003,0.196481213
6/8/2003,0.235180846
6/9/2003,0.108521747
6/10/2003,0.114118072
6/11/2003,0.230016
6/12/2003,0.288503526
6/13/2003,0.280850062
6/14/2003,0.234549388
6/15/2003,0.359305427
6/16/2003,0.322581474
6/17/2003,0.263287509
6/18/2003,0.249777829
6/19/2003,0.239229218
6/20/2003,0.20142985
6/21/2003,0.165854697
6/22/2003,0.101472282
6/23/2003,0.123716862
6/24/2003,0.168522881
6/25/2003,0.205783221
6/26/2003,0.348137272
6/27/2003,0.353972257
6/28/2003,0.379703671
6/29/2003,0.335407424
6/30/2003,0.271821377
7/1/2003,0.234244355
7/2/2003,0.123365503
7/3/2003,0.177757091
7/4/2003,0.175265998
7/5/2003,0.27371904
7/6/2003,0.347638887
7/7/2003,0.279107507
7/8/2003,0.44502487
7/9/2003,0.42203592
7/10/2003,0.441968462
7/11/2003,0.301621523
7/12/2003,0.204829434
7/13/2003,0.234927991
7/14/2003,0.340314696
7/15/2003,0.491078226
7/16/2003,0.450418236
7/17/2003,0.338703989
7/18/2003,0.284801203
7/19/2003,0.233576723
7/20/2003,0.138468473
7/21/2003,0.229455398
7/22/2003,0.273682415
7/23/2003,0.211611773
7/24/2003,0.26443214
7/25/2003,0.301257555
7/26/2003,0.350176287
7/27/2003,0.283728707
7/28/2003,0.312121304
7/29/2003,0.291352904
7/30/2003,0.276518233
7/31/2003,0.320985698
8/1/2003,0.269856535
8/2/2003,0.413871596
8/3/2003,0.462572042
8/4/2003,0.275092449
8/5/2003,0.287396923
8/6/2003,0.214470713
8/7/2003,0.154491541
8/8/2003,0.113080903
8/9/2003,0.165011633
8/10/2003,0.243016164
8/11/2003,0.349956959
8/12/2003,0.347700556
8/13/2003,0.170049557
8/14/2003,0.17547729
8/15/2003,0.193054973
8/16/2003,0.215817925
8/17/2003,0.18314984
8/18/2003,0.23661098
8/19/2003,0.144752259
8/20/2003,0.270179072
8/21/2003,0.319883802
8/22/2003,0.29520617
8/23/2003,0.221784502
8/24/2003,0.245644358
8/25/2003,0.277119908
8/26/2003,0.243118188
8/27/2003,0.292628852
8/28/2003,0.157663706
8/29/2003,0.148894838
8/30/2003,0.197567119
8/31/2003,0.162332911
9/1/2003,0.211573742
9/2/2003,0.159514118
9/3/2003,0.183399897
9/4/2003,0.212089752
9/5/2003,0.155651889
9/6/2003,0.276041704
9/7/2003,0.207820744
9/8/2003,0.230837361
9/9/2003,0.18936392
9/10/2003,0.202835724
9/11/2003,0.103231159
9/12/2003,0.11168633
9/13/2003,0.098015609
9/14/2003,0.131884042
9/15/2003,0.092006906
9/16/2003,0.128200338
9/17/2003,0.180765891
9/18/2003,0.140405445
9/19/2003,0.132600222
9/20/2003,0.071323912
9/21/2003,0.079708296
9/22/2003,0.099614989
9/23/2003,0.136577052
9/24/2003,0.167621024
9/25/2003,0.086602347
9/26/2003,0.109050394
9/27/2003,0.09224275
9/28/2003,0.134340536
9/29/2003,0.100743122
9/30/2003,0.117698084
10/1/2003,0.168094715
10/2/2003,0.146914473
10/3/2003,0.235451187
10/4/2003,0.165065902
10/5/2003,0.189448643
10/6/2003,0.08947924
10/7/2003,0.143702757
10/8/2003,0.153297609
10/9/2003,0.141836631
10/10/2003,0.126933459
10/11/2003,0.109764511
10/12/2003,0.209295393
10/13/2003,0.153338822
10/14/2003,0.171859523
10/15/2003,0.109930139
10/16/2003,0.107791775
10/17/2003,0.32958967
10/18/2003,0.135006662
10/19/2003,0.126800791
10/20/2003,0.08616035
10/21/2003,0.147292455
10/22/2003,0.098496606
10/23/2003,0.095956278
10/24/2003,0.167877991
10/25/2003,0.13741272
10/26/2003,0.113926842
10/27/2003,0.100223939
10/28/2003,0.090573817
10/29/2003,0.309523732
10/30/2003,0.12782109
10/31/2003,0.145809294
11/1/2003,0.110663228
11/2/2003,0.137386669
11/3/2003,0.192445023
11/4/2003,0.198327174
11/5/2003,0.23395701
11/6/2003,0.151523251
11/7/2003,0.084166225
11/8/2003,0.077409162
11/9/2003,0.063831914
11/10/2003,0.134531757
11/11/2003,0.097358216
11/12/2003,0.073454448
11/13/2003,0.101195905
11/14/2003,0.094761392
11/15/2003,0.079125226
11/16/2003,0.036045854
11/17/2003,0.059447419
11/18/2003,0.111585518
11/19/2003,0.115524921
11/20/2003,0.160867878
11/21/2003,0.171415338
11/22/2003,0.176062322
11/23/2003,0.058068304
11/24/2003,0.12759221
11/25/2003,0.09527584
11/26/2003,0.141669173
11/27/2003,0.127897867
11/28/2003,0.102312336
11/29/2003,0.040801884
11/30/2003,0.041436054
12/1/2003,0.104841942
12/2/2003,0.106407198
12/3/2003,0.103867616
12/4/2003,0.066194553
12/5/2003,0.095086212
12/6/2003,0.076850396
12/7/2003,0.063040153
12/8/2003,0.112748206
12/9/2003,0.154439117
12/10/2003,0.121677469
12/11/2003,0.132392539
12/12/2003,0.0969759
12/13/2003,0.041132319
12/14/2003,0.048993225
12/15/2003,0.048626388
12/16/2003,0.051922255
12/17/2003,0.08362241
12/18/2003,0.139675404
12/19/2003,0.158305491
12/20/2003,0.163499608
12/21/2003,0.134327397
12/22/2003,0.20797554
12/23/2003,0.08780705
12/24/2003,0.031975805
12/25/2003,0.032532057
12/26/2003,0.049858312
12/27/2003,0.04154422
12/28/2003,0.079236293
12/29/2003,0.066965995
12/30/2003,0.103954938
12/31/2003,0.150599377
1/1/2004,0.108177985
1/2/2004,0.102605577
1/3/2004,0.112629492
1/4/2004,0.149071572
1/5/2004,0.103938062
1/6/2004,0.143697708
1/7/2004,0.112765075
1/8/2004,0.120538019
1/9/2004,0.091464044
1/10/2004,0.074116447
1/11/2004,0.120373176
1/12/2004,0.133962776
1/13/2004,0.122962554
1/14/2004,0.140457528
1/15/2004,0.168892667
1/16/2004,0.183320087
1/17/2004,0.123529716
1/18/2004,0.145175552
1/19/2004,0.12195424
1/20/2004,0.092550066
1/21/2004,0.173266077
1/22/2004,0.081769982
1/23/2004,0.151395488
1/24/2004,0.303986694
1/25/2004,0.244180217
1/26/2004,0.096545391
1/27/2004,0.068059698
1/28/2004,0.064601493
1/29/2004,0.268051585
1/30/2004,#NAME?
1/31/2004,0.151347523
2/1/2004,0.129226858
2/2/2004,0.249609709
2/3/2004,0.222074712
2/4/2004,0.18447253
2/5/2004,0.170256372
2/6/2004,0.137482877
2/7/2004,0.180051081
2/8/2004,0.09490689
2/9/2004,0.152767584
2/10/2004,0.101704526
2/11/2004,0.11932757
2/12/2004,0.118659475
2/13/2004,0.095973729
2/14/2004,0.102456784
2/15/2004,0.231700062
2/16/2004,0.110680365
2/17/2004,0.135532443
2/18/2004,0.091434686
2/19/2004,0.173279737
2/20/2004,0.131352043
2/21/2004,0.094254368
2/22/2004,0.142139089
2/23/2004,0.156714361
2/24/2004,0.152837664
2/25/2004,0.099039475
2/26/2004,0.097027725
2/27/2004,0.1834394
2/28/2004,0.221829717
2/29/2004,0.261755433
3/1/2004,0.158846549
3/2/2004,0.185612088
3/3/2004,0.110855979
3/4/2004,0.139088738
3/5/2004,0.161064144
3/6/2004,0.231957867
3/7/2004,0.368774271
3/8/2004,0.364711707
3/9/2004,0.642262806
3/10/2004,0.439891596
3/11/2004,0.554525411
3/12/2004,0.20183419
3/13/2004,0.176399674
3/14/2004,0.079772359
3/15/2004,0.09665353
3/16/2004,0.085926015
3/17/2004,0.122085018
3/18/2004,0.142288301
3/19/2004,0.094443775
3/20/2004,0.146982011
3/21/2004,0.108857276
3/22/2004,0.130905931
3/23/2004,0.101899831
3/24/2004,0.109580562
3/25/2004,0.178855095
3/26/2004,0.212474999
3/27/2004,0.330731117
3/28/2004,0.211620605
3/29/2004,0.19564647
3/30/2004,0.266464202
3/31/2004,0.194925696
4/1/2004,0.164786042
4/2/2004,0.192749444
4/3/2004,0.225984928
4/4/2004,0.104452375
4/5/2004,0.078666806
4/6/2004,0.074211763
4/7/2004,0.069177286
4/8/2004,0.036542393
4/9/2004,0.139862296
4/10/2004,0.213003584
4/11/2004,0.134961364
4/12/2004,0.161500008
4/13/2004,0.126444552
4/14/2004,0.161079931
4/15/2004,0.055725689
4/16/2004,0.099590453
4/17/2004,0.100170984
4/18/2004,0.068496452
4/19/2004,0.143426188
4/20/2004,0.133755584
4/21/2004,0.059155737
4/22/2004,0.05219297
4/23/2004,0.111222771
4/24/2004,0.120012499
4/25/2004,0.096754837
4/26/2004,0.101482567
4/27/2004,0.115272337
4/28/2004,0.119000301
4/29/2004,0.163949164
4/30/2004,0.201125969
5/1/2004,0.05088129
5/2/2004,0.134631406
5/3/2004,0.142957326
5/4/2004,0.121286825
5/5/2004,0.119356471
5/6/2004,0.150331417
5/7/2004,0.172101526
5/8/2004,0.207105404
5/9/2004,0.177960793
5/10/2004,0.19703122
5/11/2004,0.19364145
5/12/2004,0.269537033
5/13/2004,0.231852079
5/14/2004,0.492928826
5/15/2004,0.34620751
5/16/2004,0.310674332
5/17/2004,0.314243475
5/18/2004,0.234121776
5/19/2004,0.18929268
5/20/2004,0.313444636
5/21/2004,0.21076851
5/22/2004,0.315817373
5/23/2004,0.291856319
5/24/2004,0.205303417
5/25/2004,0.235153673
5/26/2004,0.132833096
5/27/2004,0.148278593
5/28/2004,0.177736041
5/29/2004,0.213876148
5/30/2004,0.244007235
5/31/2004,0.207880871
6/1/2004,0.144281589
6/2/2004,0.141020117
6/3/2004,0.152681447
6/4/2004,0.132664963
6/5/2004,0.144735303
6/6/2004,0.093512068
6/7/2004,0.17827476
6/8/2004,0.205835236
6/9/2004,0.159807767
6/10/2004,0.198804571
6/11/2004,0.169030279
6/12/2004,0.161860516
6/13/2004,0.228021103
6/14/2004,0.339995271
6/15/2004,0.264420264
6/16/2004,0.401849641
6/17/2004,0.264857823
6/18/2004,0.253295818
6/19/2004,0.254035489
6/20/2004,0.259737038
6/21/2004,0.151500815
6/22/2004,0.23577329
6/23/2004,0.183663245
6/24/2004,0.151321111
6/25/2004,0.138121846
6/26/2004,0.175114756
6/27/2004,0.152985801
6/28/2004,0.104074025
6/29/2004,0.135270322
6/30/2004,0.107477503
7/1/2004,0.157423332
7/2/2004,0.114099855
7/3/2004,0.079777819
7/4/2004,0.083739693
7/5/2004,0.082673395
7/6/2004,0.197889255
7/7/2004,0.219422182
7/8/2004,0.352533439
7/9/2004,0.297997854
7/10/2004,#NAME?
7/11/2004,0.391561107
7/12/2004,0.281069457
7/13/2004,0.285444164
7/14/2004,0.138126821
7/15/2004,0.205455837
7/16/2004,0.218950844
7/17/2004,0.321320352
7/18/2004,0.20810152
7/19/2004,0.171609651
7/20/2004,0.158974112
7/21/2004,0.157570468
7/22/2004,0.140955797
7/23/2004,0.124725941
7/24/2004,0.20454557
7/25/2004,0.198867209
7/26/2004,0.122916305
7/27/2004,0.083770835
7/28/2004,0.104598435
7/29/2004,0.19771231
7/30/2004,0.21174272
7/31/2004,0.328548736
8/1/2004,0.368688265
8/2/2004,0.36184025
8/3/2004,0.151068112
8/4/2004,0.188562328
8/5/2004,0.130691304
8/6/2004,0.134652039
8/7/2004,0.179193287
8/8/2004,0.234789684
8/9/2004,0.268575748
8/10/2004,0.230736622
8/11/2004,0.233315155
8/12/2004,0.207934314
8/13/2004,0.198950788
8/14/2004,0.198379695
8/15/2004,0.202421049
8/16/2004,0.158057278
8/17/2004,0.151517997
8/18/2004,0.182674627
8/19/2004,0.172487807
8/20/2004,0.228099602
8/21/2004,0.208887031
8/22/2004,0.219494742
8/23/2004,0.264660897
8/24/2004,0.127223849
8/25/2004,0.206283609
8/26/2004,0.162685628
8/27/2004,0.166971668
8/28/2004,0.168408534
8/29/2004,0.156865889
8/30/2004,0.144357569
8/31/2004,0.189291973
9/1/2004,0.21175782
9/2/2004,0.133142264
9/3/2004,0.117090062
9/4/2004,0.152463706
9/5/2004,0.113904919
9/6/2004,0.110011499
9/7/2004,0.103544495
9/8/2004,0.102152143
9/9/2004,0.09257287
9/10/2004,0.135305187
9/11/2004,0.142845402
9/12/2004,0.145327513
9/13/2004,0.18075811
9/14/2004,0.239478164
9/15/2004,0.125945093
9/16/2004,0.114282725
9/17/2004,0.145565823
9/18/2004,0.110799244
9/19/2004,0.167273298
9/20/2004,0.087805093
9/21/2004,0.173442962
9/22/2004,0.160108153
9/23/2004,0.152194258
9/24/2004,0.131551915
9/25/2004,0.158787091
9/26/2004,0.167899647
9/27/2004,0.143330562
9/28/2004,0.16688835
9/29/2004,0.117939523
9/30/2004,0.181779383
10/1/2004,0.242341221
10/2/2004,0.216544961
10/3/2004,0.131564547
10/4/2004,0.074271692
10/5/2004,0.046422117
10/6/2004,0.093392182
10/7/2004,0.077478204
10/8/2004,0.084043478
10/9/2004,0.105581232
10/10/2004,0.095585404
10/11/2004,0.09051671
10/12/2004,0.105270665
10/13/2004,0.083157085
10/14/2004,0.095892643
10/15/2004,0.108891915
10/16/2004,0.148435515
10/17/2004,0.036321301
10/18/2004,0.119587916
10/19/2004,0.184129066
10/20/2004,0.101510091
10/21/2004,0.1660513
10/22/2004,0.122681459
10/23/2004,0.172603373
10/24/2004,0.060124903
10/25/2004,0.202541907
10/26/2004,0.187832286
10/27/2004,0.124257952
10/28/2004,0.12541751
10/29/2004,0.048002991
10/30/2004,0.064086695
10/31/2004,0.037799024
11/1/2004,0.109637547
11/2/2004,0.086971902
11/3/2004,0.123609257
11/4/2004,0.128892184
11/5/2004,0.098342495
11/6/2004,0.134755947
11/7/2004,0.084626243
11/8/2004,0.101973587
11/9/2004,0.113560849
11/10/2004,0.113516056
11/11/2004,0.157145691
11/12/2004,0.133182599
11/13/2004,0.185538379
11/14/2004,0.10769347
11/15/2004,0.070606371
11/16/2004,0.072710483
11/17/2004,0.146781262
11/18/2004,0.125530784
11/19/2004,0.131823921
11/20/2004,0.098184683
11/21/2004,0.07420608
11/22/2004,0.132648655
11/23/2004,0.116021442
11/24/2004,0.26228474
11/25/2004,0.079980351
11/26/2004,0.084711985
11/27/2004,0.06718836
11/28/2004,0.057781254
11/29/2004,0.084787307
11/30/2004,0.125625576
12/1/2004,0.126394749
12/2/2004,0.109709404
12/3/2004,0.137501411
12/4/2004,0.074461409
12/5/2004,0.132937971
12/6/2004,0.14600196
12/7/2004,0.157999695
12/8/2004,0.138740939
12/9/2004,0.10969
12/10/2004,0.085191923
12/11/2004,0.196855575
12/12/2004,0.081930672
12/13/2004,0.097370519
12/14/2004,0.098040607
12/15/2004,0.093223233
12/16/2004,0.16987333
12/17/2004,0.135042317
12/18/2004,0.135366307
12/19/2004,0.091298331
12/20/2004,0.140816404
12/21/2004,0.214815447
12/22/2004,0.087091737
12/23/2004,0.08125809
12/24/2004,0.05902612
12/25/2004,0.032798018
12/26/2004,0.050066153
12/27/2004,0.047618216
12/28/2004,0.105701261
12/29/2004,0.120809073
12/30/2004,0.317971855
12/31/2004,0.118915375
1/1/2005,0.060737005
1/2/2005,0.053374363
1/3/2005,0.068156943
1/4/2005,0.080971893
1/5/2005,0.10055633
1/6/2005,0.092841066
1/7/2005,0.105327025
1/8/2005,0.106841164
1/9/2005,0.111812996
1/10/2005,0.085941312
1/11/2005,0.163525015
1/12/2005,0.131214472
1/13/2005,0.212549082
1/14/2005,0.145999674
1/15/2005,0.084913101
1/16/2005,0.071939158
1/17/2005,0.091832081
1/18/2005,0.072960032
1/19/2005,0.094974629
1/20/2005,0.134226471
1/21/2005,0.068452259
1/22/2005,0.056299633
1/23/2005,0.094332996
1/24/2005,0.158425896
1/25/2005,0.221283347
1/26/2005,0.164193818
1/27/2005,0.081764865
1/28/2005,0.19989865
1/29/2005,0.138214216
1/30/2005,0.110095949
1/31/2005,0.177155114
2/1/2005,0.172034045
2/2/2005,0.128623601
2/3/2005,0.142461224
2/4/2005,0.077734121
2/5/2005,0.082995856
2/6/2005,0.148173662
2/7/2005,0.143269084
2/8/2005,0.13763971
2/9/2005,0.097473728
2/10/2005,0.027833001
2/11/2005,0.043046541
2/12/2005,0.120175507
2/13/2005,0.150784704
2/14/2005,0.127147564
2/15/2005,0.070161558
2/16/2005,0.147014166
2/17/2005,0.089940639
2/18/2005,0.147984698
2/19/2005,0.102526695
2/20/2005,0.075689966
2/21/2005,0.094485938
2/22/2005,0.097188288
2/23/2005,0.119974718
2/24/2005,0.148080839
2/25/2005,0.166711067
2/26/2005,0.228967813
2/27/2005,0.164222505
2/28/2005,0.289815499
3/1/2005,0.147998221
3/2/2005,0.114283363
3/3/2005,0.12590067
3/4/2005,0.123515971
3/5/2005,0.210349739
3/6/2005,0.09980408
3/7/2005,0.161314918
3/8/2005,0.128235046
3/9/2005,0.172723609
3/10/2005,0.058367588
3/11/2005,0.08597177
3/12/2005,0.143321782
3/13/2005,0.146830668
3/14/2005,0.131010679
3/15/2005,0.157966034
3/16/2005,0.085019819
3/17/2005,0.108804042
3/18/2005,0.128776654
3/19/2005,0.06903069
3/20/2005,0.156594385
3/21/2005,0.086411363
3/22/2005,0.11855715
3/23/2005,0.068202674
3/24/2005,0.10438104
3/25/2005,0.127424819
3/26/2005,0.073406748
3/27/2005,0.065782932
3/28/2005,0.100896419
3/29/2005,0.055765307
3/30/2005,0.110520712
3/31/2005,0.037946024
4/1/2005,0.055640825
4/2/2005,0.066157486
4/3/2005,0.094944643
4/4/2005,0.14913381
4/5/2005,0.166258244
4/6/2005,0.193312526
4/7/2005,0.143785789
4/8/2005,0.126608285
4/9/2005,0.245819191
4/10/2005,0.133499112
4/11/2005,0.271709237
4/12/2005,0.247191398
4/13/2005,0.24694947
4/14/2005,0.129206676
4/15/2005,0.068444423
4/16/2005,0.071958998
4/17/2005,0.123425472
4/18/2005,0.147399879
4/19/2005,0.089790543
4/20/2005,0.175257737
4/21/2005,0.103750334
4/22/2005,0.115689474
4/23/2005,0.085778506
4/24/2005,0.099710239
4/25/2005,0.049957452
4/26/2005,0.086814174
4/27/2005,0.056741037
4/28/2005,0.224119076
4/29/2005,#NAME?
4/30/2005,0.163559064
5/1/2005,0.116658328
5/2/2005,0.131932606
5/3/2005,0.275292076
5/4/2005,0.124069141
5/5/2005,0.112125521
5/6/2005,0.150655824
5/7/2005,0.11526248
5/8/2005,0.104460561
5/9/2005,0.105779943
5/10/2005,0.107022213
5/11/2005,0.13895793
5/12/2005,0.222942266
5/13/2005,0.096248555
5/14/2005,0.119145641
5/15/2005,0.111307338
5/16/2005,0.15351023
5/17/2005,0.109951333
5/18/2005,0.100022946
5/19/2005,0.108736072
5/20/2005,0.114765525
5/21/2005,0.226269514
5/22/2005,0.14355616
5/23/2005,0.165792779
5/24/2005,0.140387285
5/25/2005,0.164103004
5/26/2005,#NAME?
5/27/2005,0.185474142
5/28/2005,0.112109581
5/29/2005,0.078661046
5/30/2005,0.133529376
5/31/2005,0.155521829
6/1/2005,0.143228009
6/2/2005,0.188972155
6/3/2005,0.152968432
6/4/2005,0.176973841
6/5/2005,0.194069749
6/6/2005,0.283175838
6/7/2005,0.3146934
6/8/2005,0.207409975
6/9/2005,0.170783534
6/10/2005,0.117928428
6/11/2005,0.135774291
6/12/2005,0.105784411
6/13/2005,0.266310599
6/14/2005,0.314681284
6/15/2005,0.318877157
6/16/2005,0.314097114
6/17/2005,0.272563702
6/18/2005,0.361433979
6/19/2005,0.317941517
6/20/2005,0.277986535
6/21/2005,0.325746472
6/22/2005,0.37478051
6/23/2005,0.274815247
6/24/2005,0.203243416
6/25/2005,0.2964973
6/26/2005,0.360529028
6/27/2005,0.299789724
6/28/2005,0.225504771
6/29/2005,0.318375335
6/30/2005,0.349061921
7/1/2005,0.403452751
7/2/2005,0.436729767
7/3/2005,0.307304927
7/4/2005,0.392096762
7/5/2005,0.368600638
7/6/2005,0.3095554
7/7/2005,0.192403124
7/8/2005,0.239382723
7/9/2005,0.123147407
7/10/2005,0.107756202
7/11/2005,0.159858396
7/12/2005,0.114629312
7/13/2005,0.098543346
7/14/2005,0.090237684
7/15/2005,0.224768127
7/16/2005,0.258041129
7/17/2005,0.245126541
7/18/2005,0.538165988
7/19/2005,0.51538176
7/20/2005,0.407112862
7/21/2005,0.396540405
7/22/2005,0.30365415
7/23/2005,0.289685636
7/24/2005,0.187942912
7/25/2005,0.173662453
7/26/2005,0.157486268
7/27/2005,0.261465807
7/28/2005,0.361449379
7/29/2005,0.31471745
7/30/2005,0.380734405
7/31/2005,0.343732316
8/1/2005,0.322874511
8/2/2005,0.258947261
8/3/2005,0.287881181
8/4/2005,0.308025396
8/5/2005,0.371634979
8/6/2005,0.233829363
8/7/2005,0.246420387
8/8/2005,0.214644512
8/9/2005,0.167883781
8/10/2005,0.255519709
8/11/2005,0.20806654
8/12/2005,0.220007349
8/13/2005,0.286328424
8/14/2005,0.203168327
8/15/2005,0.24562871
8/16/2005,0.271012219
8/17/2005,0.21523359
8/18/2005,0.224763626
8/19/2005,0.26220624
8/20/2005,0.206121128
8/21/2005,0.187747128
8/22/2005,0.139592065
8/23/2005,0.190875369
8/24/2005,0.173833302
8/25/2005,0.216912675
8/26/2005,0.188913205
8/27/2005,0.225708682
8/28/2005,0.169071355
8/29/2005,0.095991945
8/30/2005,0.137677116
8/31/2005,0.103612712
9/1/2005,0.159072088
9/2/2005,0.137671381
9/3/2005,0.13733902
9/4/2005,0.21135887
9/5/2005,0.210194398
9/6/2005,0.233479288
9/7/2005,0.191926758
9/8/2005,0.328434366
9/9/2005,0.268584436
9/10/2005,0.260353284
9/11/2005,0.243716806
9/12/2005,0.211315709
9/13/2005,0.212810607
9/14/2005,0.278256688
9/15/2005,0.338902124
9/16/2005,0.317859702
9/17/2005,0.347927798
9/18/2005,0.379947498
9/19/2005,0.277896259
9/20/2005,0.222649808
9/21/2005,0.233762919
9/22/2005,#NAME?
9/23/2005,0.154785021
9/24/2005,0.07992811
9/25/2005,0.108605609
9/26/2005,0.141619883
9/27/2005,0.078901596
9/28/2005,0.123172125
9/29/2005,0.124149237
9/30/2005,0.096605656
10/1/2005,0.149227128
10/2/2005,0.082900104
10/3/2005,0.059781579
10/4/2005,0.10800962
10/5/2005,0.131414592
10/6/2005,0.142105228
10/7/2005,0.060359311
10/8/2005,0.064296438
10/9/2005,0.101798722
10/10/2005,0.120620886
10/11/2005,0.15268427
10/12/2005,0.159508435
10/13/2005,0.146090481
10/14/2005,0.150685099
10/15/2005,0.170438655
10/16/2005,0.120213692
10/17/2005,0.196317749
10/18/2005,-9999
10/19/2005,0.122897182
10/20/2005,0.073713752
10/21/2005,0.147810702
10/22/2005,0.139850339
10/23/2005,0.166348333
10/24/2005,0.214775301
10/25/2005,0.197154188
10/26/2005,0.193579482
10/27/2005,0.125708398
10/28/2005,0.126898461
10/29/2005,0.104137821
10/30/2005,0.08069082
10/31/2005,0.071957626
11/1/2005,0.107959413
11/2/2005,0.121983859
11/3/2005,0.095504476
11/4/2005,0.17421899
11/5/2005,0.086768508
